"Municipal.status","Geographic.area","Full_title","city"
"Single Tier","Kenora","Sioux Narrows-Nestor Falls, Township of","Sioux Narrows-Nestor Falls"
"Single Tier","Lanark","Smiths Falls, Town of","Smiths Falls"
"Single Tier","Cochrane","Smooth Rock Falls, Town of","Smooth Rock Falls"
"Single Tier","Nipissing","South Algonquin, Township of","South Algonquin"
"Lower Tier","Bruce","South Bruce, Municipality of","South Bruce"
"Lower Tier","Bruce","South Bruce Peninsula, Town of","South Bruce Peninsula"
"Lower Tier","Stormont, Dundas and Glengarry","South Dundas, Municipality of","South Dundas"
"Lower Tier","Frontenac","South Frontenac, Township of","South Frontenac"
"Lower Tier","Stormont, Dundas and Glengarry","South Glengarry, Township of","South Glengarry"
"Lower Tier","Huron","South Huron, Municipality of","South Huron"
"Single Tier","Parry Sound","South River, Village of","South River"
"Lower Tier","Stormont, Dundas and Glengarry","South Stormont, Township of","South Stormont"
"Lower Tier","Oxford","South-West Oxford, Township of","South-West Oxford"
"Lower Tier","Grey","Southgate, Township of","Southgate"
"Lower Tier","Middlesex","Southwest Middlesex, Municipality of","Southwest Middlesex"
"Lower Tier","Elgin","Southwold, Township of","Southwold"
"Single Tier","Algoma","Spanish, Town of","Spanish"
"Lower Tier","Simcoe","Springwater, Township of","Springwater"
"Lower Tier","Niagara","St. Catharines, City of","St. Catharines"
"Lower Tier","Lambton","St. Clair, Township of","St. Clair"
"Single Tier","Algoma","St. Joseph, Township of","St. Joseph"
"Single Tier","Perth","St. Marys, Town of","St. Marys"
"Single Tier","Elgin","St. Thomas, City of","St. Thomas"
"Single Tier","Sudbury","St.-Charles, Municipality of","St.-Charles"
"Lower Tier","Hastings","Stirling-Rawdon, Township of","Stirling-Rawdon"
"Lower Tier","Lennox and Addington","Stone Mills, Township of","Stone Mills"
"Single Tier","Perth","Stratford, City of","Stratford"
"Lower Tier","Middlesex","Strathroy-Caradoc, Municipality of","Strathroy-Caradoc"
"Single Tier","Parry Sound","Strong, Township of","Strong"
"Single Tier","Parry Sound","Sundridge, Village of","Sundridge"
"Single Tier","Algoma","Tarbutt, Township of","Tarbutt"
"Lower Tier","Simcoe","Tay, Township of","Tay"
"Lower Tier","Lanark","Tay Valley, Township of","Tay Valley"
"Lower Tier","Essex","Tecumseh, Town of","Tecumseh"
"Single Tier","Manitoulin","Tehkummah, Township of","Tehkummah"
"Single Tier","Nipissing","Temagami, Municipality of","Temagami"
"Single Tier","Timiskaming","Temiskaming Shores, City of","Temiskaming Shores"
"Single Tier","Thunder Bay","Terrace Bay, Township of","Terrace Bay"
"Lower Tier","Middlesex","Thames Centre, Municipality of","Thames Centre"
"Single Tier","Parry Sound","The Archipelago, Township of","The Archipelago"
"Lower Tier","Grey","The Blue Mountains, Town of","The Blue Mountains"
"Lower Tier","Prescott and Russell","The Nation Municipality","The Nation Municipality"
"Single Tier","Algoma","The North Shore, Township of","The North Shore"
"Single Tier","Algoma","Thessalon, Town of","Thessalon"
"Single Tier","Timiskaming","Thornloe, Village of","Thornloe"
"Lower Tier","Niagara","Thorold, City of","Thorold"
"Single Tier","Thunder Bay","Thunder Bay, City of","Thunder Bay"
"Lower Tier","Oxford","Tillsonburg, Town of","Tillsonburg"
"Single Tier","Cochrane","Timmins, City of","Timmins"
"Lower Tier","Simcoe","Tiny, Township of","Tiny"
"Lower Tier","Northumberland","Trent Hills, Municipality of","Trent Hills"
"Lower Tier","Peterborough","Trent Lakes, Municipality of","Trent Lakes"
"Lower Tier","Hastings","Tudor and Cashel, Township of","Tudor and Cashel"
